Full Name,Political Party,Party Short,Twitter,Notes
Derya BAKBAK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/deryabakbak27,Gaziantep
İsmail GÜNEŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ismailgunes64,Uşak
Ali ŞAHİN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AliSahin501,Gaziantep
Bülent TURAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/turanbulent,Çanakkale
Mehmet MUŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mehmedmus,İstanbul
Aytun ÇIRAY,IYI Parti,IYI,https://twitter.com/TCAytunCiray,İzmir
Mehmet ALTAY,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mehmetaltay64,Uşak
Engin ÖZKOÇ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/enginozkoc,Sakarya
Mehmet Doğan KUBAT,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mdogankubat,İstanbul
Tufan KÖSE,Cumhuriyet Halk Partisi,CHP,https://twitter.com/AvTufanKose,Çorum
Nabi AVCI,Adalet ve Kalkınma Partisi,AKP,,Eskişehir
Fatih ŞAHİN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/_fatihsahin,Ankara
Ali İhsan YAVUZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/aliihsanyavuz54,Sakarya
Şirin ÜNAL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/SIRIN_UNAL,İstanbul
Gürsel TEKİN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/gurseltekin34,İstanbul
Candan YÜCEER,Cumhuriyet Halk Partisi,CHP,https://twitter.com/CandanYceer,Tekirdağ
Hakan ÇAVUŞOĞLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Hakan_cavusoglu,Bursa
Osman Aşkın BAK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/OA_Bak,Rize
Mehmet Şükrü ERDİNÇ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/MSErdinc,Adana
Sadir DURMAZ,Milliyetçi Hareket Partisi,MHP,https://twitter.com/sadirdurmaz,Ankara
Veli AĞBABA,Cumhuriyet Halk Partisi,CHP,https://twitter.com/veliagbaba,Malatya
Mahir ÜNAL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mahirunal,Kahramanmaraş
Mihrimah Belma SATIR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Belmasatir,İstanbul
Volkan BOZKIR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/volkan_bozkir,İstanbul
Hamza DAĞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avhamzadag,İzmir
Erol KAYA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/erolkaya_ist,İstanbul
Osman BOYRAZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/OsmanBoyraz,İstanbul
Ahmet Berat ÇONKAR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/beratconkar,İstanbul
Osman ÖREN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/osman_oren,Siirt
Mustafa ŞENTOP,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/MustafaSentop,Tekirdağ
Mustafa Sezgin TANRIKULU,Cumhuriyet Halk Partisi,CHP,https://twitter.com/MSTanrikulu,İstanbul
Uğur BAYRAKTUTAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/UgurBayraktutan,Artvin
Tülay KAYNARCA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/tulaykaynarca,İstanbul
Uğur AYDEMİR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/uguraydemir45,Manisa
Özgür ÖZEL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/eczozgurozel,Manisa
Oya ERONAT,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/eronat_oya,Diyarbakır
İlyas ŞEKER,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ilyasseker41,Kocaeli
İsmail TAMER,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mvitamer,Kayseri
İsmet UÇMA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ismetUcma,İstanbul
Numan KURTULMUŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/NumanKurtulmus,İstanbul
Ümit ÖZDAĞ,Zafer Partisi,ZAFER,https://twitter.com/umitozdag,İstanbul
Recep ŞEKER,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/drrecepseker,Karaman
Durmuş YILMAZ,IYI Parti,IYI,https://twitter.com/DurmusYillmaz,Ankara
Ünal DEMİRTAŞ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/AvUnaldemirtas,Zonguldak
Barış KARADENİZ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/bkaradeniz57,Sinop
Mehmet GÖKER,Cumhuriyet Halk Partisi,CHP,https://twitter.com/drmehmet_goker,Burdur
Abdurrahman BAŞKAN,Milliyetçi Hareket Partisi,MHP,https://twitter.com/abdurrahmanbask,Antalya
Çetin Osman BUDAK,Cumhuriyet Halk Partisi,CHP,https://twitter.com/CetinOsmanBudak,Antalya
Murat EMİR,Cumhuriyet Halk Partisi,CHP,https://twitter.com/muratemirchp,Ankara
Kamil AYDIN,Milliyetçi Hareket Partisi,MHP,https://twitter.com/kamilaydinmhp,Erzurum
