Full Name,Political Party,Party Short,Twitter,Notes
Nazım MAVİŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/NazimMavis,Sinop
Mustafa Hilmi DÜLGER,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Hilmi_Dulger79,Kilis
Öztürk YILMAZ,Yenilik Partisi,YENILIK,https://twitter.com/ozturkyilmazYP,Ardahan
Ahmet TAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ahmettan43,Kütahya
Hulusi ŞENTÜRK,Adalet ve Kalkınma Partisi,AKP,,İstanbul
Hacı ÖZKAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/haciozkan33,Mersin
Mahmut Atilla KAYA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/MAtillaKaya,İzmir
Serkan BAYRAM,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvSerkanBayram,İstanbul
Cemal ÖZTÜRK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mvcemalozturk,Giresun
Sabri ÖZTÜRK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvSabriOzturk,Giresun
Ahmet Hamdi ÇAMLI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ahmethamdicamli,İstanbul
Atay USLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/atayuslu,Antalya
Şahin TİN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/sahin_tin,Denizli
Cahit ÖZKAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avcahitozkan,Denizli
Orhan KIRCALI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvOrhanKIRCALI,Samsun
Kadim DURMAZ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/kadimdurmaz,Tokat
Gürsel EROL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/gurselerol62,Elazığ
Ali Cumhur TAŞKIN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/alicumhurtaskin,Mersin
Yusuf BEYAZIT,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/yusufbeyazit60,Tokat
Mustafa SAVAŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/aydinmsavas,Aydın
Harun KARACAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/harun_karacan,Eskişehir
Emine Nur GÜNAY,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/EmineNurGunay,Eskişehir
Muhammet Müfit AYDIN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mufitaydin16,Bursa
